lambda,mean_csr,std_csr
1.0,1.0,0.0
1.9230769230769231,0.9934972699480689,0.010507258865277633
2.8461538461538463,0.9801584481316308,0.010799870564728569
3.769230769230769,0.958837045203271,0.013355490624135213
4.6923076923076925,0.9134785559026278,0.022014080891299824
5.615384615384616,0.8607156824581039,0.012725619063896472
6.538461538461538,0.8160837595012523,0.020666515277157866
7.461538461538462,0.7534598296110538,0.023066418104220925
8.384615384615385,0.727402986471366,0.01525755747884409
9.307692307692308,0.6949102235255249,0.025248553708556675
10.230769230769232,0.6559310881843562,0.015048270371978102
11.153846153846155,0.6377752185143788,0.011472812645798722
12.076923076923077,0.6000315249688751,0.007065837148034004
13.0,0.5773210438635437,0.012066422183352372
