alpha,energy_csr,legacy_csr,steps_energy,steps_legacy,steps_saved
0.01,0.8656716417910447,0.8666666666666667,201,748,547
0.5644444444444445,0.8656716417910447,0.8666666666666667,186,748,562
1.118888888888889,0.8656716417910447,0.8666666666666667,172,748,576
1.6733333333333336,0.8656716417910447,0.8666666666666667,159,748,589
2.227777777777778,0.8656716417910447,0.8666666666666667,137,748,611
2.7822222222222224,0.8656716417910447,0.8666666666666667,119,748,629
3.336666666666667,0.8656716417910447,0.8666666666666667,111,748,637
3.8911111111111114,0.8656716417910447,0.8666666666666667,99,748,649
4.445555555555556,0.8656716417910447,0.8666666666666667,99,748,649
5.0,0.8656716417910447,0.8666666666666667,71,748,677
