lambda,energy_csr,legacy_csr,steps_energy,steps_legacy,steps_saved
5.0,0.9551526717557252,0.9541984732824428,11,748,737
6.0,0.9014855355746677,0.9007036747458952,11,748,737
7.0,0.8751724137931034,0.8737931034482759,7,748,741
8.0,0.8257485029940119,0.8233532934131736,7,748,741
9.0,0.7822623473181094,0.7859798194370685,7,748,741
10.0,0.7493975903614458,0.7474698795180723,7,748,741
11.0,0.7205050065302568,0.7113626469307793,7,748,741
12.0,0.6786283891547049,0.6790271132376395,7,748,741
13.0,0.624079528718704,0.6215022091310751,7,748,741
